pass,changed,current_budget,exec_time,iteration,phase,run
Initial,0,59,0.000173922,0,Initial,0
TypefeedbackCleanup,0,58,0.00016385,0,Initial,0
DotDotDots,0,57,0.000182901,0,Initial,0
EagerCalls,0,56,0.000219267,0,Initial,0
MatchCallArgs,0,55,0.00017135,0,Initial,0
InlineForcePromises,0,54,0.000168993,0,Initial,0
Inline,1,53,0.000372073,0,Initial,0
OptimizeContexts,0,52,0.000307375,0,Initial,0
DelayInstr,0,51,0.000369419,0,Initial,0
ForceDominance,0,50,0.00765275,0,Initial,0
ScopeResolution,1,49,0.00421651,0,Initial,0
LoadElision,0,48,0.000253364,0,Initial,0
GVN,0,47,0.00102976,0,Initial,0
Constantfold,0,46,0.00167216,0,Initial,0
DeadStoreRemoval,0,45,0.00286778,0,Initial,0
Inline,0,44,0.000180342,0,Initial,0
OptimizeContexts,0,43,0.000300137,0,Initial,0
OptimizeVisibility,1,42,0.000524153,0,Initial,0
OptimizeAssumptions,1,41,0.0021432,0,Initial,0
Cleanup,1,40,0.000651585,0,Initial,0
ElideEnv,0,39,0.000347385,0,Initial,0
DelayEnv,1,38,0.000156465,0,Initial,0
DelayInstr,0,37,0.000312095,0,Initial,0
Cleanup,0,36,0.000536602,0,Initial,0
OptimizeVisibility,0,35,0.000260168,0,Initial,0
OptimizeAssumptions,1,34,0.00131149,0,Initial,0
Cleanup,0,33,0.000492235,0,Initial,0
TypeInference,0,32,0.00028062,0,Initial,0
Overflow,0,31,0.000286414,0,Initial,0
Initial post,0,0,0.000129377,0,Initial post,0
HoistInstruction,1,0,0.000232091,0,Initial post,0
LoopInvariant,0,0,0.000211012,0,Initial post,0
Speculation,0,99,0.000128622,0,Speculation,0
TypefeedbackCleanup,0,98,0.000138783,0,Speculation,0
ElideEnvSpec,1,97,0.00207242,0,Speculation,0
DotDotDots,0,96,0.000145311,0,Speculation,0
EagerCalls,0,95,0.000187157,0,Speculation,0
MatchCallArgs,0,94,0.000143953,0,Speculation,0
InlineForcePromises,0,93,0.000143321,0,Speculation,0
Inline,0,92,0.000149954,0,Speculation,0
OptimizeContexts,1,91,0.000346985,0,Speculation,0
DelayInstr,0,90,0.000304286,0,Speculation,0
ForceDominance,1,89,0.00414907,0,Speculation,0
ScopeResolution,1,88,0.00359211,0,Speculation,0
LoadElision,0,87,0.00022688,0,Speculation,0
GVN,0,86,0.00103244,0,Speculation,0
Constantfold,0,85,0.000768436,0,Speculation,0
DeadStoreRemoval,1,84,0.0023305,0,Speculation,0
Inline,0,83,0.000160978,0,Speculation,0
OptimizeContexts,0,82,0.000176781,0,Speculation,0
OptimizeVisibility,0,81,0.000280868,0,Speculation,0
OptimizeAssumptions,1,80,0.00246719,0,Speculation,0
Cleanup,0,79,0.000675128,0,Speculation,0
ElideEnv,0,78,0.000328043,0,Speculation,0
DelayEnv,1,77,0.0001454,0,Speculation,0
DelayInstr,1,76,0.000315197,0,Speculation,0
Cleanup,0,75,0.000580426,0,Speculation,0
OptimizeVisibility,0,74,0.000202495,0,Speculation,0
OptimizeAssumptions,0,73,0.00163237,0,Speculation,0
Cleanup,0,72,0.000608572,0,Speculation,0
TypeInference,0,71,0.0006907,0,Speculation,0
Overflow,0,70,0.000293019,0,Speculation,0
TypefeedbackCleanup,0,69,0.000126281,0,Speculation,0
TypeSpeculation,1,68,0.00209632,0,Speculation,0
Speculation,0,67,0.000137841,1,Speculation,0
TypefeedbackCleanup,0,66,0.000135632,1,Speculation,0
ElideEnvSpec,1,65,0.000996098,1,Speculation,0
DotDotDots,0,64,0.000148519,1,Speculation,0
EagerCalls,0,63,0.000194629,1,Speculation,0
MatchCallArgs,0,62,0.000143548,1,Speculation,0
InlineForcePromises,0,61,0.00014184,1,Speculation,0
Inline,0,60,0.000143944,1,Speculation,0
OptimizeContexts,0,59,0.00015549,1,Speculation,0
DelayInstr,0,58,0.000301465,1,Speculation,0
ForceDominance,1,57,0.0012092,1,Speculation,0
ScopeResolution,1,56,0.00332346,1,Speculation,0
LoadElision,1,55,0.000319038,1,Speculation,0
GVN,0,54,0.00114588,1,Speculation,0
Constantfold,0,53,0.00129039,1,Speculation,0
DeadStoreRemoval,0,52,0.00190418,1,Speculation,0
Inline,0,51,0.000134854,1,Speculation,0
OptimizeContexts,0,50,0.000145852,1,Speculation,0
OptimizeVisibility,0,49,0.000255081,1,Speculation,0
OptimizeAssumptions,1,48,0.0027264,1,Speculation,0
Cleanup,0,47,0.000875601,1,Speculation,0
ElideEnv,0,46,0.00019694,1,Speculation,0
DelayEnv,0,45,9.2326e-05,1,Speculation,0
DelayInstr,1,44,0.000189889,1,Speculation,0
Cleanup,0,43,0.000391817,1,Speculation,0
