pass,changed,current_budget,exec_time,iteration,phase,run
Initial,0,59,0.00016469,0,Initial,0
TypefeedbackCleanup,0,58,0.000153106,0,Initial,0
DotDotDots,0,57,0.000162957,0,Initial,0
EagerCalls,0,56,0.000213004,0,Initial,0
MatchCallArgs,0,55,0.000163116,0,Initial,0
InlineForcePromises,0,54,0.000183723,0,Initial,0
Inline,1,53,0.000363905,0,Initial,0
OptimizeContexts,0,52,0.00029295,0,Initial,0
DelayInstr,1,51,0.000391643,0,Initial,0
ForceDominance,0,50,0.00569013,0,Initial,0
ScopeResolution,1,49,0.00466244,0,Initial,0
LoadElision,0,48,0.000240061,0,Initial,0
GVN,1,47,0.0008801,0,Initial,0
Constantfold,0,46,0.00112732,0,Initial,0
DeadStoreRemoval,0,45,0.00259206,0,Initial,0
Inline,0,44,0.000175222,0,Initial,0
OptimizeContexts,0,43,0.00028519,0,Initial,0
OptimizeVisibility,1,42,0.00047695,0,Initial,0
OptimizeAssumptions,1,41,0.00177686,0,Initial,0
Cleanup,1,40,0.000631158,0,Initial,0
ElideEnv,0,39,0.000358076,0,Initial,0
DelayEnv,1,38,0.000154388,0,Initial,0
DelayInstr,0,37,0.000296548,0,Initial,0
Cleanup,0,36,0.000561997,0,Initial,0
OptimizeVisibility,0,35,0.000264967,0,Initial,0
OptimizeAssumptions,1,34,0.00108488,0,Initial,0
Cleanup,0,33,0.000520001,0,Initial,0
TypeInference,0,32,0.00026488,0,Initial,0
Overflow,0,31,0.000286118,0,Initial,0
Initial post,0,0,0.000127004,0,Initial post,0
HoistInstruction,1,0,0.00022357,0,Initial post,0
LoopInvariant,0,0,0.000221831,0,Initial post,0
Speculation,0,99,0.000129054,0,Speculation,0
TypefeedbackCleanup,0,98,0.000127563,0,Speculation,0
ElideEnvSpec,1,97,0.00178946,0,Speculation,0
DotDotDots,0,96,0.000146312,0,Speculation,0
EagerCalls,0,95,0.0001872,0,Speculation,0
MatchCallArgs,0,94,0.000144779,0,Speculation,0
InlineForcePromises,0,93,0.000141694,0,Speculation,0
Inline,0,92,0.000144357,0,Speculation,0
OptimizeContexts,1,91,0.00031528,0,Speculation,0
DelayInstr,0,90,0.000301186,0,Speculation,0
ForceDominance,1,89,0.00353396,0,Speculation,0
ScopeResolution,1,88,0.00479681,0,Speculation,0
LoadElision,0,87,0.000246466,0,Speculation,0
GVN,0,86,0.00102177,0,Speculation,0
Constantfold,0,85,0.000677808,0,Speculation,0
DeadStoreRemoval,1,84,0.00220937,0,Speculation,0
Inline,0,83,0.000186068,0,Speculation,0
OptimizeContexts,0,82,0.000183159,0,Speculation,0
OptimizeVisibility,0,81,0.000279845,0,Speculation,0
OptimizeAssumptions,1,80,0.00219979,0,Speculation,0
Cleanup,0,79,0.000595512,0,Speculation,0
ElideEnv,1,78,0.000345712,0,Speculation,0
DelayEnv,1,77,0.000149646,0,Speculation,0
DelayInstr,1,76,0.000326722,0,Speculation,0
Cleanup,0,75,0.000619673,0,Speculation,0
OptimizeVisibility,0,74,0.000215879,0,Speculation,0
OptimizeAssumptions,0,73,0.00152059,0,Speculation,0
Cleanup,0,72,0.000622915,0,Speculation,0
TypeInference,0,71,0.000309042,0,Speculation,0
Overflow,0,70,0.000303744,0,Speculation,0
TypefeedbackCleanup,0,69,0.000133977,0,Speculation,0
TypeSpeculation,1,68,0.00198442,0,Speculation,0
Speculation,0,67,0.000143089,1,Speculation,0
TypefeedbackCleanup,0,66,0.000139905,1,Speculation,0
ElideEnvSpec,1,65,0.00101286,1,Speculation,0
DotDotDots,0,64,0.000149767,1,Speculation,0
