pass,changed,current_budget,exec_time,iteration,phase,run
Initial,0,59,8.6275e-05,0,Initial,0
TypefeedbackCleanup,0,58,7.613e-05,0,Initial,0
DotDotDots,0,57,8.1149e-05,0,Initial,0
EagerCalls,1,56,0.000130706,0,Initial,0
MatchCallArgs,0,55,8.8762e-05,0,Initial,0
InlineForcePromises,0,54,7.9391e-05,0,Initial,0
Inline,1,53,0.000216554,0,Initial,0
OptimizeContexts,0,52,0.000155467,0,Initial,0
DelayInstr,0,51,0.000155339,0,Initial,0
ForceDominance,1,50,0.000758103,0,Initial,0
ScopeResolution,1,49,0.00110157,0,Initial,0
LoadElision,0,48,0.000131609,0,Initial,0
GVN,0,47,0.00045423,0,Initial,0
Constantfold,0,46,0.000337811,0,Initial,0
DeadStoreRemoval,0,45,0.00105122,0,Initial,0
Inline,0,44,8.3413e-05,0,Initial,0
OptimizeContexts,0,43,0.000135481,0,Initial,0
OptimizeVisibility,0,42,0.000184971,0,Initial,0
OptimizeAssumptions,1,41,0.000328174,0,Initial,0
Cleanup,1,40,0.000322548,0,Initial,0
ElideEnv,0,39,0.000180312,0,Initial,0
DelayEnv,1,38,7.8336e-05,0,Initial,0
DelayInstr,0,37,0.000114777,0,Initial,0
Cleanup,0,36,0.000275168,0,Initial,0
OptimizeVisibility,0,35,0.000174112,0,Initial,0
OptimizeAssumptions,0,34,0.000245254,0,Initial,0
Cleanup,0,33,0.00027734,0,Initial,0
TypeInference,0,32,0.000136722,0,Initial,0
Overflow,0,31,0.000134048,0,Initial,0
Initial post,0,0,6.8098e-05,0,Initial post,0
HoistInstruction,0,0,0.000114106,0,Initial post,0
LoopInvariant,0,0,9.2584e-05,0,Initial post,0
Speculation,0,99,6.5114e-05,0,Speculation,0
TypefeedbackCleanup,0,98,6.5657e-05,0,Speculation,0
ElideEnvSpec,1,97,0.000242299,0,Speculation,0
DotDotDots,0,96,7.4616e-05,0,Speculation,0
EagerCalls,0,95,8.9143e-05,0,Speculation,0
MatchCallArgs,0,94,7.609e-05,0,Speculation,0
InlineForcePromises,0,93,7.2063e-05,0,Speculation,0
Inline,0,92,7.2186e-05,0,Speculation,0
OptimizeContexts,0,91,0.000111958,0,Speculation,0
DelayInstr,0,90,0.000123539,0,Speculation,0
ForceDominance,1,89,0.000531702,0,Speculation,0
ScopeResolution,0,88,0.00095061,0,Speculation,0
LoadElision,0,87,0.000115999,0,Speculation,0
GVN,0,86,0.000434055,0,Speculation,0
Constantfold,0,85,0.000229629,0,Speculation,0
DeadStoreRemoval,0,84,0.000915544,0,Speculation,0
Inline,0,83,7.5878e-05,0,Speculation,0
OptimizeContexts,0,82,0.000119039,0,Speculation,0
OptimizeVisibility,0,81,0.000143483,0,Speculation,0
OptimizeAssumptions,1,80,0.000338733,0,Speculation,0
Cleanup,0,79,0.000308853,0,Speculation,0
ElideEnv,0,78,0.000174309,0,Speculation,0
DelayEnv,1,77,7.6005e-05,0,Speculation,0
DelayInstr,0,76,0.000114966,0,Speculation,0
Cleanup,0,75,0.000266736,0,Speculation,0
OptimizeVisibility,0,74,0.000127931,0,Speculation,0
OptimizeAssumptions,0,73,0.0002744,0,Speculation,0
Cleanup,0,72,0.000266243,0,Speculation,0
TypeInference,0,71,0.000133708,0,Speculation,0
Overflow,0,70,0.000127501,0,Speculation,0
TypefeedbackCleanup,0,69,9.1176e-05,0,Speculation,0
TypeSpeculation,1,68,0.000366339,0,Speculation,0
Speculation,0,67,6.8694e-05,1,Speculation,0
TypefeedbackCleanup,0,66,6.7637e-05,1,Speculation,0
ElideEnvSpec,1,65,0.000202914,1,Speculation,0
DotDotDots,0,64,7.1665e-05,1,Speculation,0
EagerCalls,0,63,8.5251e-05,1,Speculation,0
MatchCallArgs,0,62,7.4629e-05,1,Speculation,0
InlineForcePromises,0,61,6.9518e-05,1,Speculation,0
Inline,0,60,7.0431e-05,1,Speculation,0
OptimizeContexts,0,59,0.000115951,1,Speculation,0
DelayInstr,0,58,0.000119004,1,Speculation,0
ForceDominance,0,57,0.000292982,1,Speculation,0
ScopeResolution,0,56,0.000879842,1,Speculation,0
LoadElision,1,55,0.000117591,1,Speculation,0
GVN,0,54,0.000435419,1,Speculation,0
Constantfold,0,53,0.000224905,1,Speculation,0
DeadStoreRemoval,0,52,0.000938692,1,Speculation,0
Inline,0,51,7.0757e-05,1,Speculation,0
OptimizeContexts,0,50,0.000110737,1,Speculation,0
OptimizeVisibility,0,49,0.000123423,1,Speculation,0
OptimizeAssumptions,1,48,0.000362193,1,Speculation,0
Cleanup,0,47,0.000300905,1,Speculation,0
ElideEnv,0,46,0.000154167,1,Speculation,0
DelayEnv,0,45,6.2674e-05,1,Speculation,0
DelayInstr,0,44,9.6151e-05,1,Speculation,0
Cleanup,0,43,0.000246362,1,Speculation,0
OptimizeVisibility,0,42,0.000114256,1,Speculation,0
OptimizeAssumptions,0,41,0.000256949,1,Speculation,0
Cleanup,0,40,0.000254386,1,Speculation,0
TypeInference,0,39,0.000122244,1,Speculation,0
Overflow,0,38,0.000113315,1,Speculation,0
TypefeedbackCleanup,0,37,5.6884e-05,1,Speculation,0
TypeSpeculation,0,36,0.000148291,1,Speculation,0
Speculation post,0,0,5.7777e-05,0,Speculation post,0
HoistInstruction,1,0,9.0904e-05,0,Speculation post,0
LoopInvariant,0,0,6.7284e-05,0,Speculation post,0
Remove CP,0,0,5.5851e-05,0,Remove CP,0
CleanupCheckpoints,1,0,6.5919e-05,0,Remove CP,0
HoistInstruction,0,0,5.6134e-05,0,Remove CP,0
LoopInvariant,0,0,4.7532e-05,0,Remove CP,0
Intermediate 2,0,59,3.8018e-05,0,Intermediate 2,0
DotDotDots,0,58,4.2283e-05,0,Intermediate 2,0
EagerCalls,0,57,5.045e-05,0,Intermediate 2,0
MatchCallArgs,0,56,4.4724e-05,0,Intermediate 2,0
InlineForcePromises,0,55,4.0759e-05,0,Intermediate 2,0
Inline,0,54,4.1438e-05,0,Intermediate 2,0
OptimizeContexts,0,53,6.0737e-05,0,Intermediate 2,0
DelayInstr,0,52,6.983e-05,0,Intermediate 2,0
ForceDominance,0,51,0.000164842,0,Intermediate 2,0
ScopeResolution,1,50,0.000502368,0,Intermediate 2,0
LoadElision,0,49,6.6868e-05,0,Intermediate 2,0
GVN,0,48,0.00018324,0,Intermediate 2,0
Constantfold,0,47,0.000138557,0,Intermediate 2,0
DeadStoreRemoval,0,46,0.000415297,0,Intermediate 2,0
Inline,0,45,4.7215e-05,0,Intermediate 2,0
OptimizeContexts,0,44,6.51e-05,0,Intermediate 2,0
OptimizeVisibility,0,43,8.7084e-05,0,Intermediate 2,0
OptimizeAssumptions,0,42,0.000167268,0,Intermediate 2,0
Cleanup,1,41,0.000192347,0,Intermediate 2,0
ElideEnv,0,40,9.9698e-05,0,Intermediate 2,0
DelayEnv,0,39,4.0246e-05,0,Intermediate 2,0
DelayInstr,0,38,6.5281e-05,0,Intermediate 2,0
Cleanup,0,37,0.000159914,0,Intermediate 2,0
OptimizeVisibility,0,36,6.7059e-05,0,Intermediate 2,0
OptimizeAssumptions,0,35,0.000127787,0,Intermediate 2,0
Cleanup,0,34,0.000156707,0,Intermediate 2,0
TypeInference,0,33,8.5716e-05,0,Intermediate 2,0
Overflow,0,32,7.1513e-05,0,Intermediate 2,0
Intermediate 2 post,0,0,3.4237e-05,0,Intermediate 2 post,0
HoistInstruction,0,0,4.6015e-05,0,Intermediate 2 post,0
LoopInvariant,0,0,3.7691e-05,0,Intermediate 2 post,0
Cleanup FS,0,0,3.3214e-05,0,Cleanup FS,0
CleanupFramestate,1,0,3.9342e-05,0,Cleanup FS,0
CleanupCheckpoints,0,0,4.2339e-05,0,Cleanup FS,0
Final,0,119,3.2905e-05,0,Final,0
DotDotDots,0,118,3.6342e-05,0,Final,0
EagerCalls,0,117,4.1042e-05,0,Final,0
MatchCallArgs,0,116,3.9402e-05,0,Final,0
InlineForcePromises,0,115,3.488e-05,0,Final,0
Inline,0,114,3.5355e-05,0,Final,0
OptimizeContexts,0,113,4.9246e-05,0,Final,0
DelayInstr,0,112,6.1966e-05,0,Final,0
ForceDominance,0,111,0.000127357,0,Final,0
ScopeResolution,1,110,0.00049245,0,Final,0
LoadElision,1,109,6.299e-05,0,Final,0
GVN,0,108,0.000220312,0,Final,0
Constantfold,0,107,9.3632e-05,0,Final,0
DeadStoreRemoval,0,106,0.00026553,0,Final,0
Inline,0,105,3.6316e-05,0,Final,0
OptimizeContexts,0,104,5.2754e-05,0,Final,0
OptimizeVisibility,0,103,6.0288e-05,0,Final,0
OptimizeAssumptions,1,102,0.000127785,0,Final,0
Cleanup,0,101,0.000160877,0,Final,0
ElideEnv,0,100,8.5976e-05,0,Final,0
DelayEnv,0,99,3.4116e-05,0,Final,0
DelayInstr,0,98,5.715e-05,0,Final,0
Cleanup,0,97,0.000140725,0,Final,0
OptimizeVisibility,0,96,5.9753e-05,0,Final,0
OptimizeAssumptions,0,95,0.000121306,0,Final,0
Cleanup,0,94,0.000143355,0,Final,0
TypeInference,0,93,8.3388e-05,0,Final,0
Overflow,0,92,6.3992e-05,0,Final,0
ElideEnvSpec,0,91,7.8677e-05,0,Final,0
CleanupCheckpoints,0,90,4.0884e-05,0,Final,0
Final post,0,0,3.0125e-05,0,Final post,0
HoistInstruction,0,0,4.7339e-05,0,Final post,0
LoopInvariant,0,0,3.3933e-05,0,Final post,0
Constantfold,0,0,8.225e-05,0,Final post,0
Cleanup,0,0,0.000145092,0,Final post,0
CleanupCheckpoints,0,0,3.8528e-05,0,Final post,0
done,0,0,3.018e-05,0,done,0
Initial,0,59,0.000209375,0,Initial,1
TypefeedbackCleanup,0,58,0.00019054,0,Initial,1
DotDotDots,0,57,0.000205208,0,Initial,1
EagerCalls,1,56,0.000296701,0,Initial,1
MatchCallArgs,0,55,0.000214615,0,Initial,1
InlineForcePromises,0,54,0.000229595,0,Initial,1
Inline,1,53,0.00103221,0,Initial,1
OptimizeContexts,0,52,0.000594293,0,Initial,1
DelayInstr,1,51,0.000675791,0,Initial,1
ForceDominance,1,50,0.00596591,0,Initial,1
ScopeResolution,1,49,0.00713658,0,Initial,1
LoadElision,0,48,0.00049282,0,Initial,1
GVN,0,47,0.00228617,0,Initial,1
Constantfold,0,46,0.00197451,0,Initial,1
DeadStoreRemoval,0,45,0.0070121,0,Initial,1
Inline,1,44,0.000649225,0,Initial,1
OptimizeContexts,0,43,0.000550002,0,Initial,1
OptimizeVisibility,1,42,0.000757191,0,Initial,1
OptimizeAssumptions,1,41,0.00253795,0,Initial,1
Cleanup,1,40,0.00113013,0,Initial,1
ElideEnv,0,39,0.000620309,0,Initial,1
DelayEnv,1,38,0.000283501,0,Initial,1
DelayInstr,0,37,0.000431969,0,Initial,1
Cleanup,0,36,0.000938547,0,Initial,1
OptimizeVisibility,0,35,0.00040986,0,Initial,1
OptimizeAssumptions,1,34,0.00124234,0,Initial,1
Cleanup,0,33,0.000921038,0,Initial,1
TypeInference,0,32,0.000451161,0,Initial,1
Overflow,0,31,0.000459853,0,Initial,1
Initial post,0,0,0.000233178,0,Initial post,1
HoistInstruction,1,0,0.000377076,0,Initial post,1
LoopInvariant,0,0,0.000304131,0,Initial post,1
Speculation,0,99,0.000236452,0,Speculation,1
TypefeedbackCleanup,0,98,0.000244884,0,Speculation,1
ElideEnvSpec,1,97,0.00115179,0,Speculation,1
DotDotDots,0,96,0.000254307,0,Speculation,1
EagerCalls,0,95,0.000299883,0,Speculation,1
