pass,changed,current_budget,exec_time,iteration,phase,run
Initial,0,59,2.9802e-05,0,Initial,0
TypefeedbackCleanup,0,58,2.367e-05,0,Initial,0
DotDotDots,0,57,2.3964e-05,0,Initial,0
EagerCalls,0,56,2.9833e-05,0,Initial,0
MatchCallArgs,0,55,2.2247e-05,0,Initial,0
InlineForcePromises,0,54,2.1987e-05,0,Initial,0
Inline,0,53,2.2787e-05,0,Initial,0
OptimizeContexts,0,52,2.5684e-05,0,Initial,0
DelayInstr,0,51,3.039e-05,0,Initial,0
ForceDominance,0,50,9.173e-05,0,Initial,0
ScopeResolution,0,49,0.000144194,0,Initial,0
LoadElision,0,48,3.2518e-05,0,Initial,0
GVN,0,47,0.000132544,0,Initial,0
Constantfold,0,46,9.3551e-05,0,Initial,0
DeadStoreRemoval,0,45,0.000122861,0,Initial,0
Inline,0,44,2.3328e-05,0,Initial,0
OptimizeContexts,0,43,2.6466e-05,0,Initial,0
OptimizeVisibility,1,42,7.2729e-05,0,Initial,0
OptimizeAssumptions,0,41,4.7487e-05,0,Initial,0
Cleanup,1,40,0.000109471,0,Initial,0
ElideEnv,0,39,5.5002e-05,0,Initial,0
DelayEnv,0,38,2.3242e-05,0,Initial,0
DelayInstr,0,37,2.8647e-05,0,Initial,0
Cleanup,0,36,8.6184e-05,0,Initial,0
OptimizeVisibility,0,35,6.7245e-05,0,Initial,0
OptimizeAssumptions,0,34,4.0833e-05,0,Initial,0
Cleanup,0,33,8.6502e-05,0,Initial,0
TypeInference,0,32,4.4831e-05,0,Initial,0
Overflow,0,31,3.9541e-05,0,Initial,0
Initial post,0,0,2.0069e-05,0,Initial post,0
HoistInstruction,0,0,3.0136e-05,0,Initial post,0
LoopInvariant,0,0,2.3156e-05,0,Initial post,0
Speculation,0,99,1.9625e-05,0,Speculation,0
TypefeedbackCleanup,0,98,1.9761e-05,0,Speculation,0
ElideEnvSpec,0,97,4.7532e-05,0,Speculation,0
DotDotDots,0,96,2.1083e-05,0,Speculation,0
EagerCalls,0,95,2.4962e-05,0,Speculation,0
