pass,changed,current_budget,exec_time,iteration,phase,run
Initial,0,59,0.000272981,0,Initial,0
TypefeedbackCleanup,0,58,0.000224101,0,Initial,0
DotDotDots,0,57,0.000239805,0,Initial,0
EagerCalls,0,56,0.000314475,0,Initial,0
MatchCallArgs,0,55,0.000249588,0,Initial,0
InlineForcePromises,0,54,0.000231276,0,Initial,0
Inline,1,53,0.000820136,0,Initial,0
OptimizeContexts,0,52,0.00052863,0,Initial,0
DelayInstr,1,51,0.000578446,0,Initial,0
ForceDominance,1,50,0.00272611,0,Initial,0
ScopeResolution,1,49,0.0039,0,Initial,0
LoadElision,0,48,0.00036671,0,Initial,0
GVN,0,47,0.00146014,0,Initial,0
Constantfold,0,46,0.0013894,0,Initial,0
DeadStoreRemoval,0,45,0.00251661,0,Initial,0
Inline,1,44,0.000447909,0,Initial,0
OptimizeContexts,0,43,0.000445147,0,Initial,0
OptimizeVisibility,0,42,0.000561256,0,Initial,0
OptimizeAssumptions,1,41,0.00154289,0,Initial,0
Cleanup,1,40,0.000841377,0,Initial,0
ElideEnv,0,39,0.000476379,0,Initial,0
DelayEnv,1,38,0.000216762,0,Initial,0
DelayInstr,1,37,0.000355871,0,Initial,0
Cleanup,0,36,0.000710128,0,Initial,0
OptimizeVisibility,0,35,0.000322678,0,Initial,0
OptimizeAssumptions,1,34,0.000791513,0,Initial,0
Cleanup,0,33,0.000676151,0,Initial,0
TypeInference,0,32,0.00037172,0,Initial,0
Overflow,0,31,0.000328073,0,Initial,0
Initial post,0,0,0.000202926,0,Initial post,0
HoistInstruction,1,0,0.00031308,0,Initial post,0
LoopInvariant,0,0,0.000228769,0,Initial post,0
Speculation,0,99,0.00017887,0,Speculation,0
TypefeedbackCleanup,0,98,0.000176782,0,Speculation,0
ElideEnvSpec,1,97,0.00112509,0,Speculation,0
DotDotDots,0,96,0.000201192,0,Speculation,0
EagerCalls,0,95,0.000241131,0,Speculation,0
MatchCallArgs,0,94,0.00019447,0,Speculation,0
InlineForcePromises,0,93,0.000192183,0,Speculation,0
