pass,changed,current_budget,exec_time,iteration,phase,run
Initial,0,59,2.9612e-05,0,Initial,0
TypefeedbackCleanup,0,58,2.342e-05,0,Initial,0
DotDotDots,0,57,2.3477e-05,0,Initial,0
EagerCalls,0,56,2.9641e-05,0,Initial,0
MatchCallArgs,0,55,2.1724e-05,0,Initial,0
InlineForcePromises,0,54,2.127e-05,0,Initial,0
Inline,0,53,2.2535e-05,0,Initial,0
OptimizeContexts,0,52,2.5575e-05,0,Initial,0
DelayInstr,0,51,2.9695e-05,0,Initial,0
ForceDominance,0,50,9.1107e-05,0,Initial,0
ScopeResolution,0,49,0.000142521,0,Initial,0
LoadElision,0,48,3.2925e-05,0,Initial,0
GVN,0,47,0.000132306,0,Initial,0
Constantfold,0,46,9.2967e-05,0,Initial,0
DeadStoreRemoval,0,45,0.000117197,0,Initial,0
Inline,0,44,2.2293e-05,0,Initial,0
OptimizeContexts,0,43,2.579e-05,0,Initial,0
OptimizeVisibility,1,42,7.0612e-05,0,Initial,0
OptimizeAssumptions,0,41,4.799e-05,0,Initial,0
Cleanup,1,40,0.000108737,0,Initial,0
ElideEnv,0,39,5.5133e-05,0,Initial,0
DelayEnv,0,38,2.2986e-05,0,Initial,0
DelayInstr,0,37,2.821e-05,0,Initial,0
Cleanup,0,36,0.000100434,0,Initial,0
OptimizeVisibility,0,35,6.7155e-05,0,Initial,0
OptimizeAssumptions,0,34,4.126e-05,0,Initial,0
Cleanup,0,33,8.701e-05,0,Initial,0
TypeInference,0,32,4.5566e-05,0,Initial,0
Overflow,0,31,3.9894e-05,0,Initial,0
Initial post,0,0,2.0111e-05,0,Initial post,0
HoistInstruction,0,0,2.9818e-05,0,Initial post,0
LoopInvariant,0,0,2.3292e-05,0,Initial post,0
Speculation,0,99,1.9539e-05,0,Speculation,0
TypefeedbackCleanup,0,98,1.9981e-05,0,Speculation,0
ElideEnvSpec,0,97,4.9651e-05,0,Speculation,0
DotDotDots,0,96,2.1575e-05,0,Speculation,0
EagerCalls,0,95,2.5419e-05,0,Speculation,0
MatchCallArgs,0,94,2.0807e-05,0,Speculation,0
InlineForcePromises,0,93,2.1001e-05,0,Speculation,0
Inline,0,92,2.1015e-05,0,Speculation,0
OptimizeContexts,0,91,2.3345e-05,0,Speculation,0
DelayInstr,0,90,2.8266e-05,0,Speculation,0
ForceDominance,0,89,7.7494e-05,0,Speculation,0
ScopeResolution,0,88,0.000142847,0,Speculation,0
LoadElision,0,87,2.9171e-05,0,Speculation,0
GVN,0,86,0.000121596,0,Speculation,0
Constantfold,0,85,7.0193e-05,0,Speculation,0
DeadStoreRemoval,0,84,0.0001038,0,Speculation,0
Inline,0,83,2.1886e-05,0,Speculation,0
OptimizeContexts,0,82,2.5169e-05,0,Speculation,0
OptimizeVisibility,0,81,6.5766e-05,0,Speculation,0
OptimizeAssumptions,0,80,4.1071e-05,0,Speculation,0
Cleanup,0,79,9.4409e-05,0,Speculation,0
ElideEnv,0,78,5.4362e-05,0,Speculation,0
DelayEnv,0,77,2.2091e-05,0,Speculation,0
DelayInstr,0,76,2.8078e-05,0,Speculation,0
Cleanup,0,75,8.46e-05,0,Speculation,0
OptimizeVisibility,0,74,6.4945e-05,0,Speculation,0
OptimizeAssumptions,0,73,4.0491e-05,0,Speculation,0
Cleanup,0,72,8.6113e-05,0,Speculation,0
TypeInference,0,71,5.1345e-05,0,Speculation,0
Overflow,0,70,3.851e-05,0,Speculation,0
TypefeedbackCleanup,0,69,1.9349e-05,0,Speculation,0
TypeSpeculation,1,68,5.193e-05,0,Speculation,0
Speculation,0,67,1.9952e-05,1,Speculation,0
TypefeedbackCleanup,0,66,1.9869e-05,1,Speculation,0
ElideEnvSpec,0,65,4.4305e-05,1,Speculation,0
DotDotDots,0,64,2.1215e-05,1,Speculation,0
EagerCalls,0,63,2.4665e-05,1,Speculation,0
MatchCallArgs,0,62,2.0288e-05,1,Speculation,0
InlineForcePromises,0,61,2.0456e-05,1,Speculation,0
Inline,0,60,2.0593e-05,1,Speculation,0
OptimizeContexts,0,59,2.2791e-05,1,Speculation,0
DelayInstr,0,58,2.8651e-05,1,Speculation,0
ForceDominance,0,57,6.9039e-05,1,Speculation,0
ScopeResolution,0,56,0.000142603,1,Speculation,0
LoadElision,0,55,2.9059e-05,1,Speculation,0
GVN,0,54,0.000120605,1,Speculation,0
Constantfold,0,53,6.9333e-05,1,Speculation,0
DeadStoreRemoval,0,52,9.8301e-05,1,Speculation,0
Inline,0,51,2.2236e-05,1,Speculation,0
OptimizeContexts,0,50,2.527e-05,1,Speculation,0
OptimizeVisibility,0,49,6.4922e-05,1,Speculation,0
OptimizeAssumptions,0,48,5.1606e-05,1,Speculation,0
Cleanup,0,47,9.4849e-05,1,Speculation,0
ElideEnv,0,46,5.3835e-05,1,Speculation,0
DelayEnv,0,45,2.1936e-05,1,Speculation,0
DelayInstr,0,44,2.8229e-05,1,Speculation,0
Cleanup,0,43,8.4054e-05,1,Speculation,0
OptimizeVisibility,0,42,6.4855e-05,1,Speculation,0
OptimizeAssumptions,0,41,4.7979e-05,1,Speculation,0
Cleanup,0,40,8.6309e-05,1,Speculation,0
TypeInference,0,39,4.065e-05,1,Speculation,0
Overflow,0,38,3.9716e-05,1,Speculation,0
TypefeedbackCleanup,0,37,1.9805e-05,1,Speculation,0
TypeSpeculation,0,36,4.0074e-05,1,Speculation,0
Speculation post,0,0,2.0696e-05,0,Speculation post,0
HoistInstruction,1,0,3.1694e-05,0,Speculation post,0
LoopInvariant,0,0,2.2299e-05,0,Speculation post,0
Remove CP,0,0,1.9545e-05,0,Remove CP,0
CleanupCheckpoints,1,0,2.8335e-05,0,Remove CP,0
HoistInstruction,0,0,1.9843e-05,0,Remove CP,0
LoopInvariant,0,0,1.4645e-05,0,Remove CP,0
Intermediate 2,0,59,1.2763e-05,0,Intermediate 2,0
DotDotDots,0,58,1.3925e-05,0,Intermediate 2,0
EagerCalls,0,57,1.6752e-05,0,Intermediate 2,0
MatchCallArgs,0,56,1.3251e-05,0,Intermediate 2,0
InlineForcePromises,0,55,1.3619e-05,0,Intermediate 2,0
Inline,0,54,1.3842e-05,0,Intermediate 2,0
OptimizeContexts,0,53,1.5556e-05,0,Intermediate 2,0
DelayInstr,0,52,2.0041e-05,0,Intermediate 2,0
ForceDominance,0,51,4.8935e-05,0,Intermediate 2,0
ScopeResolution,0,50,0.000105454,0,Intermediate 2,0
LoadElision,0,49,2.0055e-05,0,Intermediate 2,0
GVN,0,48,6.021e-05,0,Intermediate 2,0
Constantfold,0,47,4.947e-05,0,Intermediate 2,0
DeadStoreRemoval,0,46,5.9964e-05,0,Intermediate 2,0
Inline,0,45,1.4293e-05,0,Intermediate 2,0
OptimizeContexts,0,44,1.6757e-05,0,Intermediate 2,0
OptimizeVisibility,0,43,4.1757e-05,0,Intermediate 2,0
OptimizeAssumptions,0,42,3.4637e-05,0,Intermediate 2,0
Cleanup,1,41,7.2114e-05,0,Intermediate 2,0
ElideEnv,0,40,3.4793e-05,0,Intermediate 2,0
DelayEnv,0,39,1.3505e-05,0,Intermediate 2,0
DelayInstr,0,38,1.8285e-05,0,Intermediate 2,0
Cleanup,1,37,5.471e-05,0,Intermediate 2,0
OptimizeVisibility,0,36,3.2279e-05,0,Intermediate 2,0
OptimizeAssumptions,0,35,2.5891e-05,0,Intermediate 2,0
Cleanup,0,34,5.124e-05,0,Intermediate 2,0
TypeInference,0,33,2.6591e-05,0,Intermediate 2,0
Overflow,0,32,2.1732e-05,0,Intermediate 2,0
Intermediate 2 post,0,0,1.0837e-05,0,Intermediate 2 post,0
HoistInstruction,0,0,1.4809e-05,0,Intermediate 2 post,0
LoopInvariant,0,0,1.2025e-05,0,Intermediate 2 post,0
Cleanup FS,0,0,1.5713e-05,0,Cleanup FS,0
CleanupFramestate,1,0,2.9803e-05,0,Cleanup FS,0
CleanupCheckpoints,0,0,1.392e-05,0,Cleanup FS,0
Final,0,119,1.0799e-05,0,Final,0
DotDotDots,0,118,1.179e-05,0,Final,0
EagerCalls,0,117,1.3256e-05,0,Final,0
MatchCallArgs,0,116,1.1342e-05,0,Final,0
InlineForcePromises,0,115,1.1326e-05,0,Final,0
Inline,0,114,1.1728e-05,0,Final,0
OptimizeContexts,0,113,1.249e-05,0,Final,0
DelayInstr,0,112,1.6616e-05,0,Final,0
ForceDominance,0,111,4.2391e-05,0,Final,0
ScopeResolution,0,110,9.399e-05,0,Final,0
LoadElision,0,109,1.5537e-05,0,Final,0
GVN,0,108,5.3248e-05,0,Final,0
Constantfold,0,107,3.2012e-05,0,Final,0
DeadStoreRemoval,0,106,5.4584e-05,0,Final,0
Inline,0,105,1.15e-05,0,Final,0
OptimizeContexts,0,104,1.1555e-05,0,Final,0
OptimizeVisibility,0,103,2.839e-05,0,Final,0
OptimizeAssumptions,0,102,2.5122e-05,0,Final,0
Cleanup,0,101,5.4843e-05,0,Final,0
ElideEnv,0,100,2.8002e-05,0,Final,0
DelayEnv,0,99,1.0898e-05,0,Final,0
DelayInstr,0,98,1.4499e-05,0,Final,0
Cleanup,0,97,4.2695e-05,0,Final,0
OptimizeVisibility,0,96,2.4168e-05,0,Final,0
OptimizeAssumptions,0,95,2.263e-05,0,Final,0
Cleanup,0,94,4.1896e-05,0,Final,0
TypeInference,0,93,2.4653e-05,0,Final,0
Overflow,0,92,1.7823e-05,0,Final,0
ElideEnvSpec,0,91,2.6636e-05,0,Final,0
CleanupCheckpoints,0,90,1.2251e-05,0,Final,0
Final post,0,0,9.187e-06,0,Final post,0
HoistInstruction,0,0,1.2844e-05,0,Final post,0
LoopInvariant,0,0,1.0373e-05,0,Final post,0
Constantfold,0,0,2.8552e-05,0,Final post,0
Cleanup,0,0,4.2803e-05,0,Final post,0
CleanupCheckpoints,0,0,1.182e-05,0,Final post,0
done,0,0,9.276e-06,0,done,0
Initial,0,59,0.000255561,0,Initial,1
TypefeedbackCleanup,0,58,0.000239711,0,Initial,1
DotDotDots,0,57,0.000255816,0,Initial,1
EagerCalls,0,56,0.000326869,0,Initial,1
MatchCallArgs,0,55,0.00026202,0,Initial,1
InlineForcePromises,0,54,0.000255494,0,Initial,1
Inline,1,53,0.000751041,0,Initial,1
OptimizeContexts,0,52,0.000503733,0,Initial,1
DelayInstr,1,51,0.000575932,0,Initial,1
ForceDominance,1,50,0.0042663,0,Initial,1
ScopeResolution,1,49,0.00529114,0,Initial,1
LoadElision,0,48,0.00038566,0,Initial,1
GVN,1,47,0.00174219,0,Initial,1
Constantfold,0,46,0.00171627,0,Initial,1
DeadStoreRemoval,0,45,0.00318848,0,Initial,1
Inline,0,44,0.000295283,0,Initial,1
OptimizeContexts,0,43,0.000416246,0,Initial,1
OptimizeVisibility,1,42,0.000641581,0,Initial,1
OptimizeAssumptions,1,41,0.00175257,0,Initial,1
Cleanup,1,40,0.000995102,0,Initial,1
ElideEnv,0,39,0.000508603,0,Initial,1
DelayEnv,1,38,0.000230884,0,Initial,1
DelayInstr,0,37,0.000360652,0,Initial,1
Cleanup,0,36,0.000834181,0,Initial,1
OptimizeVisibility,0,35,0.000393511,0,Initial,1
OptimizeAssumptions,1,34,0.0010289,0,Initial,1
Cleanup,0,33,0.000795691,0,Initial,1
TypeInference,0,32,0.000376531,0,Initial,1
Overflow,0,31,0.000375987,0,Initial,1
Initial post,0,0,0.00019752,0,Initial post,1
HoistInstruction,1,0,0.000320209,0,Initial post,1
LoopInvariant,0,0,0.000245786,0,Initial post,1
Speculation,0,99,0.000194005,0,Speculation,1
TypefeedbackCleanup,0,98,0.000193829,0,Speculation,1
ElideEnvSpec,1,97,0.00124906,0,Speculation,1
DotDotDots,0,96,0.000235826,0,Speculation,1
EagerCalls,0,95,0.000263199,0,Speculation,1
MatchCallArgs,0,94,0.000214842,0,Speculation,1
InlineForcePromises,0,93,0.00021265,0,Speculation,1
Inline,0,92,0.000216305,0,Speculation,1
OptimizeContexts,1,91,0.000389657,0,Speculation,1
DelayInstr,0,90,0.000357858,0,Speculation,1
ForceDominance,1,89,0.00322236,0,Speculation,1
ScopeResolution,1,88,0.00414695,0,Speculation,1
LoadElision,0,87,0.000303612,0,Speculation,1
GVN,0,86,0.00123107,0,Speculation,1
Constantfold,0,85,0.00089056,0,Speculation,1
DeadStoreRemoval,0,84,0.00363983,0,Speculation,1
Inline,0,83,0.000229335,0,Speculation,1
OptimizeContexts,0,82,0.000317651,0,Speculation,1
OptimizeVisibility,0,81,0.000443863,0,Speculation,1
OptimizeAssumptions,1,80,0.00120844,0,Speculation,1
Cleanup,0,79,0.000845676,0,Speculation,1
ElideEnv,0,78,0.000469463,0,Speculation,1
DelayEnv,1,77,0.000235406,0,Speculation,1
DelayInstr,0,76,0.000337748,0,Speculation,1
Cleanup,0,75,0.000834218,0,Speculation,1
OptimizeVisibility,0,74,0.000369473,0,Speculation,1
OptimizeAssumptions,1,73,0.00106974,0,Speculation,1
Cleanup,0,72,0.000769075,0,Speculation,1
TypeInference,0,71,0.000440851,0,Speculation,1
Overflow,0,70,0.000384231,0,Speculation,1
TypefeedbackCleanup,0,69,0.000190593,0,Speculation,1
TypeSpeculation,1,68,0.000998048,0,Speculation,1
Speculation,0,67,0.000192036,1,Speculation,1
TypefeedbackCleanup,0,66,0.000185326,1,Speculation,1
ElideEnvSpec,1,65,0.000466254,1,Speculation,1
DotDotDots,0,64,0.000201759,1,Speculation,1
EagerCalls,0,63,0.000239479,1,Speculation,1
MatchCallArgs,0,62,0.000196404,1,Speculation,1
InlineForcePromises,0,61,0.00019483,1,Speculation,1
Inline,0,60,0.000197865,1,Speculation,1
OptimizeContexts,0,59,0.000279533,1,Speculation,1
DelayInstr,0,58,0.000329956,1,Speculation,1
ForceDominance,1,57,0.00197938,1,Speculation,1
ScopeResolution,0,56,0.003423,1,Speculation,1
LoadElision,1,55,0.000298405,1,Speculation,1
GVN,0,54,0.00117892,1,Speculation,1
Constantfold,0,53,0.0007062,1,Speculation,1
DeadStoreRemoval,0,52,0.0030035,1,Speculation,1
Inline,0,51,0.000205424,1,Speculation,1
OptimizeContexts,0,50,0.00027916,1,Speculation,1
OptimizeVisibility,0,49,0.000348074,1,Speculation,1
OptimizeAssumptions,1,48,0.0010684,1,Speculation,1
Cleanup,0,47,0.000823597,1,Speculation,1
ElideEnv,0,46,0.000445553,1,Speculation,1
DelayEnv,0,45,0.00019448,1,Speculation,1
DelayInstr,0,44,0.000306669,1,Speculation,1
Cleanup,0,43,0.000760377,1,Speculation,1
OptimizeVisibility,0,42,0.000340497,1,Speculation,1
OptimizeAssumptions,0,41,0.000860834,1,Speculation,1
Cleanup,0,40,0.000786093,1,Speculation,1
TypeInference,0,39,0.000435455,1,Speculation,1
Overflow,0,38,0.000339313,1,Speculation,1
TypefeedbackCleanup,0,37,0.000175274,1,Speculation,1
TypeSpeculation,0,36,0.000489995,1,Speculation,1
Speculation post,0,0,0.000176682,0,Speculation post,1
HoistInstruction,1,0,0.000285809,0,Speculation post,1
LoopInvariant,0,0,0.000213863,0,Speculation post,1
Remove CP,0,0,0.000171523,0,Remove CP,1
CleanupCheckpoints,1,0,0.000187637,0,Remove CP,1
HoistInstruction,1,0,0.00020267,0,Remove CP,1
LoopInvariant,0,0,0.000144765,0,Remove CP,1
Intermediate 2,0,59,0.000113672,0,Intermediate 2,1
DotDotDots,0,58,0.000144468,0,Intermediate 2,1
EagerCalls,0,57,0.000160611,0,Intermediate 2,1
MatchCallArgs,0,56,0.000125735,0,Intermediate 2,1
InlineForcePromises,0,55,0.000123868,0,Intermediate 2,1
Inline,0,54,0.000128068,0,Intermediate 2,1
OptimizeContexts,0,53,0.000177067,0,Intermediate 2,1
DelayInstr,0,52,0.000212938,0,Intermediate 2,1
ForceDominance,1,51,0.000953492,0,Intermediate 2,1
ScopeResolution,0,50,0.00184713,0,Intermediate 2,1
LoadElision,0,49,0.000177155,0,Intermediate 2,1
GVN,0,48,0.000679303,0,Intermediate 2,1
Constantfold,0,47,0.000447348,0,Intermediate 2,1
DeadStoreRemoval,0,46,0.00124279,0,Intermediate 2,1
Inline,0,45,0.000134931,0,Intermediate 2,1
OptimizeContexts,0,44,0.000176867,0,Intermediate 2,1
OptimizeVisibility,0,43,0.000220149,0,Intermediate 2,1
OptimizeAssumptions,0,42,0.000492855,0,Intermediate 2,1
Cleanup,1,41,0.000519734,0,Intermediate 2,1
ElideEnv,0,40,0.000293827,0,Intermediate 2,1
DelayEnv,0,39,0.000117765,0,Intermediate 2,1
DelayInstr,0,38,0.000207366,0,Intermediate 2,1
Cleanup,1,37,0.00046248,0,Intermediate 2,1
OptimizeVisibility,0,36,0.00018977,0,Intermediate 2,1
OptimizeAssumptions,0,35,0.000364644,0,Intermediate 2,1
Cleanup,0,34,0.000434683,0,Intermediate 2,1
TypeInference,0,33,0.000268238,0,Intermediate 2,1
Overflow,0,32,0.000201466,0,Intermediate 2,1
Intermediate 2 post,0,0,0.000101008,0,Intermediate 2 post,1
HoistInstruction,1,0,0.000157018,0,Intermediate 2 post,1
LoopInvariant,0,0,0.000112863,0,Intermediate 2 post,1
Cleanup FS,0,0,9.7149e-05,0,Cleanup FS,1
CleanupFramestate,1,0,0.000108915,0,Cleanup FS,1
CleanupCheckpoints,0,0,0.000115598,0,Cleanup FS,1
Final,0,119,9.4683e-05,0,Final,1
DotDotDots,0,118,0.000101433,0,Final,1
EagerCalls,0,117,0.000118843,0,Final,1
MatchCallArgs,0,116,0.000100518,0,Final,1
InlineForcePromises,0,115,9.9458e-05,0,Final,1
Inline,0,114,0.000101689,0,Final,1
OptimizeContexts,0,113,0.000132401,0,Final,1
DelayInstr,0,112,0.000199933,0,Final,1
ForceDominance,1,111,0.000738653,0,Final,1
ScopeResolution,1,110,0.00188601,0,Final,1
LoadElision,0,109,0.000128493,0,Final,1
GVN,0,108,0.000517582,0,Final,1
Constantfold,0,107,0.000245587,0,Final,1
DeadStoreRemoval,0,106,0.000764095,0,Final,1
Inline,0,105,9.991e-05,0,Final,1
OptimizeContexts,0,104,0.000124758,0,Final,1
OptimizeVisibility,0,103,0.000156159,0,Final,1
OptimizeAssumptions,0,102,0.000333111,0,Final,1
Cleanup,1,101,0.000424505,0,Final,1
ElideEnv,0,100,0.00021149,0,Final,1
DelayEnv,1,99,9.4205e-05,0,Final,1
DelayInstr,1,98,0.000164842,0,Final,1
Cleanup,0,97,0.000395656,0,Final,1
OptimizeVisibility,0,96,0.000154696,0,Final,1
OptimizeAssumptions,0,95,0.000314883,0,Final,1
Cleanup,0,94,0.00038821,0,Final,1
TypeInference,0,93,0.000239623,0,Final,1
Overflow,0,92,0.00016776,0,Final,1
ElideEnvSpec,0,91,0.000207433,0,Final,1
CleanupCheckpoints,0,90,0.000102564,0,Final,1
Final post,0,0,8.5585e-05,0,Final post,1
HoistInstruction,0,0,0.000129408,0,Final post,1
LoopInvariant,0,0,9.5773e-05,0,Final post,1
Constantfold,0,0,0.000226055,0,Final post,1
