pass,changed,current_budget,exec_time,iteration,phase,run
Initial,0,59,1.6418e-05,0,Initial,0
TypefeedbackCleanup,0,58,1.1383e-05,0,Initial,0
DotDotDots,0,57,1.2227e-05,0,Initial,0
EagerCalls,0,56,1.8024e-05,0,Initial,0
MatchCallArgs,0,55,1.1407e-05,0,Initial,0
InlineForcePromises,0,54,1.1525e-05,0,Initial,0
Inline,0,53,1.3075e-05,0,Initial,0
OptimizeContexts,0,52,1.5466e-05,0,Initial,0
DelayInstr,0,51,2.0675e-05,0,Initial,0
ForceDominance,0,50,7.4856e-05,0,Initial,0
ScopeResolution,1,49,0.000158743,0,Initial,0
LoadElision,0,48,1.547e-05,0,Initial,0
GVN,1,47,6.9788e-05,0,Initial,0
Constantfold,1,46,5.0828e-05,0,Initial,0
DeadStoreRemoval,0,45,1.7551e-05,0,Initial,0
Inline,0,44,1.112e-05,0,Initial,0
OptimizeContexts,0,43,1.3229e-05,0,Initial,0
OptimizeVisibility,1,42,2.6789e-05,0,Initial,0
OptimizeAssumptions,1,41,5.5227e-05,0,Initial,0
Cleanup,1,40,5.6679e-05,0,Initial,0
ElideEnv,1,39,2.3163e-05,0,Initial,0
DelayEnv,1,38,1.3231e-05,0,Initial,0
DelayInstr,0,37,1.542e-05,0,Initial,0
Cleanup,1,36,4.6012e-05,0,Initial,0
OptimizeVisibility,1,35,1.852e-05,0,Initial,0
OptimizeAssumptions,1,34,3.6609e-05,0,Initial,0
Cleanup,1,33,3.1574e-05,0,Initial,0
TypeInference,0,32,1.7383e-05,0,Initial,0
Overflow,0,31,1.1376e-05,0,Initial,0
Initial post,0,0,6.167e-06,0,Initial post,0
HoistInstruction,0,0,1.3567e-05,0,Initial post,0
LoopInvariant,0,0,9.488e-06,0,Initial post,0
Speculation,0,99,6.116e-06,0,Speculation,0
TypefeedbackCleanup,0,98,6.108e-06,0,Speculation,0
ElideEnvSpec,0,97,3.0238e-05,0,Speculation,0
DotDotDots,0,96,7.112e-06,0,Speculation,0
EagerCalls,0,95,1.1077e-05,0,Speculation,0
MatchCallArgs,0,94,6.741e-06,0,Speculation,0
InlineForcePromises,0,93,6.817e-06,0,Speculation,0
Inline,0,92,7.194e-06,0,Speculation,0
OptimizeContexts,0,91,8.495e-06,0,Speculation,0
DelayInstr,0,90,1.1537e-05,0,Speculation,0
ForceDominance,0,89,3.9438e-05,0,Speculation,0
ScopeResolution,1,88,0.000116152,0,Speculation,0
LoadElision,0,87,1.014e-05,0,Speculation,0
GVN,0,86,3.7585e-05,0,Speculation,0
Constantfold,1,85,2.2783e-05,0,Speculation,0
DeadStoreRemoval,0,84,1.1934e-05,0,Speculation,0
Inline,0,83,7.821e-06,0,Speculation,0
OptimizeContexts,0,82,8.953e-06,0,Speculation,0
OptimizeVisibility,0,81,1.3605e-05,0,Speculation,0
OptimizeAssumptions,0,80,2.3194e-05,0,Speculation,0
Cleanup,0,79,3.3055e-05,0,Speculation,0
ElideEnv,1,78,1.8261e-05,0,Speculation,0
DelayEnv,0,77,8.427e-06,0,Speculation,0
DelayInstr,0,76,1.2105e-05,0,Speculation,0
Cleanup,0,75,3.3149e-05,0,Speculation,0
OptimizeVisibility,0,74,1.2563e-05,0,Speculation,0
OptimizeAssumptions,0,73,2.1091e-05,0,Speculation,0
Cleanup,0,72,3.2845e-05,0,Speculation,0
TypeInference,0,71,1.5884e-05,0,Speculation,0
Overflow,0,70,1.108e-05,0,Speculation,0
TypefeedbackCleanup,0,69,6.482e-06,0,Speculation,0
TypeSpeculation,1,68,3.7741e-05,0,Speculation,0
Speculation,0,67,7.33e-06,1,Speculation,0
TypefeedbackCleanup,0,66,7.129e-06,1,Speculation,0
ElideEnvSpec,0,65,2.619e-05,1,Speculation,0
DotDotDots,0,64,8.035e-06,1,Speculation,0
EagerCalls,0,63,1.2106e-05,1,Speculation,0
MatchCallArgs,0,62,7.745e-06,1,Speculation,0
InlineForcePromises,0,61,7.922e-06,1,Speculation,0
Inline,0,60,8.182e-06,1,Speculation,0
OptimizeContexts,0,59,9.421e-06,1,Speculation,0
DelayInstr,0,58,1.5164e-05,1,Speculation,0
ForceDominance,0,57,4.0715e-05,1,Speculation,0
ScopeResolution,0,56,0.000105072,1,Speculation,0
LoadElision,0,55,1.092e-05,1,Speculation,0
GVN,0,54,4.0615e-05,1,Speculation,0
Constantfold,0,53,2.2887e-05,1,Speculation,0
DeadStoreRemoval,0,52,1.3276e-05,1,Speculation,0
Inline,0,51,8.432e-06,1,Speculation,0
OptimizeContexts,0,50,9.759e-06,1,Speculation,0
OptimizeVisibility,0,49,1.3951e-05,1,Speculation,0
OptimizeAssumptions,0,48,3.417e-05,1,Speculation,0
